key,en,fa,context,note,status
site_name,Iranian Diaspora Dashboard,داشبورد دیاسپورای ایرانی,site title / header,alt: داشبورد ایرانیان جهان; brand term,OWNER-DECISION
diaspora,diaspora,دیاسپورا,site-wide identity term,confirmed 2026-07-11 (transliteration; standard online),OWNER-CONFIRMED
iranian_origin,Iranian-origin,ایرانی‌تبار,headline titles for register countries,pending scholarly-usage + prevalence research 2026-07-11; alpha uses ایرانی‌تبار,OWNER-DECISION
iranian_ancestry,Iranian ancestry,اصالت ایرانی,census ancestry criterion (US/AU/CA),confirmed 2026-07-11; used broadly for ancestry in fa,OWNER-CONFIRMED
iran_born,Iran-born,متولد ایران,headline titles; chart labels,alt: زاده ایران (more literary),draft
first_generation,First generation,نسل اول,generation box label,,draft
second_generation,Second generation,نسل دوم,generation box label,,draft
third_generation,Third generation,نسل سوم,third-gen disclaimer text,,draft
iranian_american,Iranian-American,ایرانی‌آمریکایی,US demonym in titles,pattern: ایرانی‌کانادایی، ایرانی‌استرالیایی,draft
estimated_population,Estimated population,برآورد جمعیت,headline card title prefix,برآورد before the noun reads naturally,draft
estimated_origin_population_title,Estimated Iranian-Origin Population in {Country},برآورد جمعیت ایرانی‌تبار در {کشور},headline card title pattern,,draft
estimated_iranborn_population_title,Estimated Iran-Born Population in {Country},برآورد جمعیت متولدان ایران در {کشور},headline card title pattern,,draft
foreign_born,Foreign-born,متولد خارج از کشور,identification text,,draft
native_born,Native-born,متولد داخل کشور,identification text,relative to host country,draft
place_of_birth,Place of birth,محل تولد,identification-box bullet,,draft
country_of_birth,Country of birth,کشور محل تولد,identification-box bullet,,draft
compound_definition,Compound definition,تعریف ترکیبی,US/AU methodology text,,draft
how_we_count,How We Count,روش شمارش,waterfall tab title (US/AU),,draft
who_is_counted,A person is counted if they meet at least one of:,هر فرد در صورتی شمرده می‌شود که دست‌کم یکی از این معیارها را داشته باشد:,identification-box heading,,draft
not_counted,not counted,شمرده نمی‌شود,third-gen disclaimer,,draft
year_of_arrival,Year of Arrival,سال ورود,tab label + chart titles,site-wide standard framing,draft
immigration,Immigration,مهاجرت,nav/tab label,,draft
annual_arrivals,Annual Arrivals,ورود سالانه,tab label (DE/US flow charts),alt: ورودی‌های سالانه,draft
length_of_residence,Length of Residence,مدت اقامت,DE tab label,same rendering for residence duration,draft
cumulative_share,cumulative share,سهم تجمعی,hover text,,draft
cumulative_pct,cumulative %,درصد تجمعی,right-axis label,,draft
cumulative_hover,% of today's Iran-born population had arrived,تا این سال …٪ از جمعیت امروز متولدان ایران وارد شده بودند,cumulative-line tooltip,stock composition; never «درصد کل ورودها»,draft
naturalization,naturalization,کسب تابعیت,DE/TR page text,alt: تحصیل تابعیت (too legal),draft
citizenship,Citizenship,تابعیت,chart title / category,alt: شهروندی; تابعیت for legal status,draft
citizen,citizen,شهروند,citizenship chart category,,draft
non_citizen,Not a citizen,غیرشهروند,citizenship chart category,alt: بدون تابعیت کشور میزبان,draft
permanent_residence,Permanent residence,اقامت دائم,US admissions text,,draft
green_card,green card,گرین‌کارت,US admissions text,everyday loanword,draft
admissions,Admissions (permanent residence granted),اعطای اقامت دائم,us-admissions page title context,frame as green cards granted; not پذیرش alone,draft
asylum,asylum,پناهندگی,category label,پناهجویی = seeking asylum; keep distinct,draft
refugee,Refugee,پناهنده,admissions category,,draft
migrant_stock,migrant stock,جمعیت مهاجران,UN data references,avoid calque «انباشت مهاجران»,draft
un_migrant_stock,UN Migrant Stock,برآورد جمعیت مهاجران سازمان ملل,source lines (Global/NL/AM),,draft
immigration_category,immigration category,نوع مهاجرت,US admissions legend,,draft
family_sponsored,Family-sponsored,مهاجرت خانوادگی,admissions category,,draft
employment_based,Employment-based,مهاجرت کاری,admissions category,alt: مهاجرت شغلی,draft
diversity_visa,Diversity,ویزای تنوع (لاتاری),admissions category,لاتاری is the everyday name,draft
main_reason_for_coming,Main Reason for Coming,دلیل اصلی مهاجرت,DE tab label,,draft
age_at_arrival,Age at arrival,سن هنگام ورود,DE charts,,draft
labour_force,labor force,نیروی کار,work-page text,,draft
employed,Employed,شاغل,chart category,,draft
unemployed,Unemployed,بیکار,chart category,,draft
self_employed,Self-employed,خوداشتغال,work charts,alt: خوداشتغال; خوداشتغال common in Iran,draft
employment,employment,اشتغال,chart titles,,draft
employment_rate,Employment Rate,نرخ اشتغال,tab label (NO),,draft
labour_force_participation,Labor force participation,نرخ مشارکت در نیروی کار,NL chart,alt: نرخ مشارکت اقتصادی,draft
labour_force_status,Labor force status,وضعیت اشتغال,tab label (DE),,draft
occupation,Occupation,شغل,tab label (US/AU),chart heading may use مشاغل,draft
industry,Industry,بخش اقتصادی,tab label,صنعت excludes services; avoid,draft
household,household,خانوار,income methodology text,,draft
household_income,Household income,درآمد خانوار,US/CA income charts,,draft
personal_income,Personal income,درآمد شخصی,AU/CA income charts,keep distinct from درآمد خانوار,draft
disposable_income,Disposable Income,درآمد قابل تصرف,NL tab label,standard Persian econ term,draft
income_decile,income decile,دهک درآمدی,US/CA/AU charts,دهک is standard Iranian usage,draft
low_income,Low Income,کم‌درآمد,NL tab,share phrasing: سهم کم‌درآمدها,draft
median_income,median income,درآمد میانه,text cards,میانه not میانگین (mean),draft
public_sector,Public sector,بخش دولتی,US work chart,,draft
private_sector,Private sector,بخش خصوصی,US work chart,,draft
nonprofit,Non-profit,بخش غیرانتفاعی,US work chart,,draft
permanent_contract,Permanent contract,قرارداد دائم,NL employment-type chart,,draft
flexible_contract,Flexible contract,قرارداد موقت,NL employment-type chart,avoid calque «منعطف»,draft
education,Education,تحصیلات,nav/tab label,,draft
qualification,Qualification,مدرک تحصیلی,UK/DE charts,,draft
bachelors_or_higher,Bachelor's degree or higher,لیسانس یا بالاتر,education text cards,alt: کارشناسی یا بالاتر (formal),draft
graduate_degree,Graduate degree,تحصیلات تکمیلی,education charts,gloss: فوق‌لیسانس یا دکترا,draft
no_formal_qualification,No formal qualification,بدون مدرک رسمی,DE/UK charts,,draft
field_of_study,Field of study,رشته تحصیلی,CA education chart,,draft
persian_language,Persian (Farsi),فارسی,language chart category,never «پرشین»,draft
